geneID	x	y	MIDCount	cell
Parp1	9491	14414	1	24867
Parp1	9762	20470	1	27530
Stum	19850	19039	1	165372
Itpkb	31756	16198	1	333441
Itpkb	24363	12489	1	227144
Itpkb	26659	24047	1	269209
Itpkb	16851	18492	1	131612
Psen2	19937	14828	1	165947
Psen2	27434	22062	1	281164
Cdc42bpa	28722	15730	1	299401
Cdc42bpa	22985	25763	1	201669
Cdc42bpa	29218	16185	1	306363
Cdc42bpa	17903	21963	1	148047
Cdc42bpa	26872	23417	1	273132
Ahctf1	23359	24451	1	208479
Ahctf1	13349	24069	1	77358
Ahctf1	29591	17643	1	310906
Ahctf1	14899	21297	1	101264
Ahctf1	27922	19402	1	288041
Ahctf1	29967	21421	1	315406
Kif28	25965	12044	1	257362
Kif28	16641	24187	1	128424
Ahctf1	17008	13136	1	134136
Kif28	23558	11801	1	212215
Sccpdh	28001	11115	1	289175
Sccpdh	29277	15915	1	306732
Sccpdh	23440	12800	1	210040
Sccpdh	12252	23815	1	61693
Cnst	13157	20112	1	75016
Tfb2m	13748	19586	1	83470
Tfb2m	28674	16728	1	298890
Smyd3	28450	13256	1	295501
Smyd3	14689	19675	1	98007
Smyd3	25477	23802	1	248389
Smyd3	12298	22230	1	62320
Smyd3	27436	22045	1	281485
Kif26b	20490	13401	1	170933
Hnrnpu	27783	18406	1	286157
Hnrnpu	27107	22085	1	276373
Hnrnpu	16545	22609	1	127076
Hnrnpu	14828	23383	1	99916
Hnrnpu	28088	17839	1	290479
Hnrnpu	21983	10221	1	185376
Hnrnpu	27701	20541	1	285067
Hnrnpu	13815	20679	1	84439
Hnrnpu	25178	24820	1	242392
Hnrnpu	15857	23560	1	116466
Hnrnpu	25895	12691	1	256054
Hnrnpu	19984	11030	1	166469
Hnrnpu	25071	12989	1	240327
Hnrnpu	17298	18273	1	138564
Hnrnpu	21783	19828	1	183001
Hnrnpu	30857	16320	1	325644
Hnrnpu	24257	22711	1	224951
Hnrnpu	13346	18352	1	77603
Hnrnpu	20977	18835	1	175664
Hnrnpu	15790	16924	1	115389
Hnrnpu	25319	11948	1	245217
Hnrnpu	28705	14801	1	299133
Hnrnpu	15840	21461	1	116092
Hnrnpu	28288	15265	1	293020
Hnrnpu	24268	9758	1	224864
Hnrnpu	28802	16122	1	300654
Hnrnpu	26460	21900	1	266044
Hnrnpu	30860	21292	1	325668
Hnrnpu	21374	18900	1	179359
Hnrnpu	13966	23975	1	86866
Hnrnpu	16933	20334	1	133464
Hnrnpu	23828	26264	1	217064
Hnrnpu	27117	23560	1	276517
Hnrnpu	15756	16683	1	114862
Hnrnpu	28013	13414	1	288948
Hnrnpu	28493	16197	1	295925
Hnrnpu	32481	17726	2	336747
Cox20	26168	23020	1	261089
Hnrnpu	27695	11683	1	284617
Cox20	16329	24432	1	123751
Cox20	28669	18503	1	298723
Hnrnpu	13785	22799	1	83948
Hnrnpu	28123	13005	1	291042
Hnrnpu	29977	17158	2	315807
Cox20	31772	16709	1	333482
Cox20	9787	16847	1	27918
Cox20	10874	23572	1	41480
Cox20	23538	13437	1	212029
Hnrnpu	15713	15431	1	114470
Cox20	26193	18318	1	261649
B230369F24Rik	28001	19368	1	289262
Desi2	30338	20192	1	320174
Desi2	22793	13917	1	198108
Adss	25320	11945	1	245217
Adss	19971	16020	2	166380
Adss	23143	13490	1	204722
Adss	14320	13273	1	92164
Adss	25373	10295	1	246471
Adss	23910	25270	1	218694
Zbtb18	7536	21517	1	6665
Zbtb18	29931	16654	1	315069
Akt3	27878	15619	1	287356
Akt3	13348	18364	1	77603
Akt3	15643	21301	1	113200
Akt3	9190	14413	1	21296
Akt3	10074	13870	1	31502
Akt3	30451	19126	1	321060
Akt3	16541	23347	1	126525
Sdccag8	26216	21300	1	262019
Sdccag8	17848	19849	1	147151
Sdccag8	28388	17975	1	294578
