,0,1,2
MZT2A,0.4240774614962013,1.4816900372578181,-0.8265284635001053
MALAT1,0.37160621870054406,1.811163054400869,-0.9392536392811094
DUSP5,0.05135467096884929,-0.0016133847642313458,0.22710492001125937
CD74,-0.5944995132826747,0.04422628165873227,-2.7623737030174182
TYK2,0.21655836308056353,0.6004689041493677,-0.2273549924849671
HLA-B,-0.22718520108173096,0.3610386789665725,-0.9328624240701426
IGHM,0.30239071149058266,2.35047619749025,-1.7357381793024325
HLA-C,-0.1574490530719016,-0.03677677609977487,-0.5585305584612952
B2M,0.06208160407515662,-0.2890909534017306,-0.5121884681644286
IGHA1,-0.36778053503654634,3.4066514291013954,-0.6223845793775241
HLA-DRB1,-1.6386855068845352,0.019511630143985253,-3.303915814433016
HLA-A,-0.14789110832289665,-0.13336267258149737,-0.5062581588061911
IGKC,-0.5019048273886122,2.870201398106762,-0.6734891032514259
HLA-DPA1,-1.0714532639872385,-1.0092680044625042,-3.538308940271382
COL9A2,0.49315521160614645,-0.4974809448158477,0.6417083205322446
RPL21,1.409380876085486,0.28515476533411793,-0.788344983346841
IGHG1,-0.27771562918026055,3.384429726151277,-0.4938381623716932
HLA-DRA,-0.9638638828918151,0.0023896666019688323,-3.350993775038589
CXCR4,0.4102236498961629,1.5010739448832628,-1.2272359661309262
RPL34,0.980788213703288,0.32906417677928645,0.05193240527787604
NPPC,0.9457464256783944,-0.48137253747224024,0.09111367709198073
NEAT1,-0.03637536546460437,1.263495914617201,-0.5111972547551995
CD37,0.17912935341350728,2.276200740060958,-1.4450569502606168
RPL37,0.7209663661084812,-0.9442855644290122,-0.49143174239804427
IGHG2,-0.3610256312445455,3.315547868589313,-0.5368470337215805
HLA-DRB5,-1.2666368697623231,-0.2562451112465948,-2.4609495184588503
HLA-E,-0.27148495719403853,0.9256599768944654,-1.4213362663247566
CIITA,0.06159873046332166,1.851701515884919,-1.7471325285899408
FKBP11,0.24635368244541947,1.8723742210670349,-0.7697727192679034
MS4A1,0.2213281824994734,2.232986117393532,-1.9613402773700135
CD53,0.2621805523463207,1.289117872279174,-1.2121716094782948
BTG1,1.2732267187640869,0.9823488177880241,-1.0161807818606479
HLA-DPB1,-0.6261494172956026,-0.6852748297041032,-2.974878025149926
RPL22,0.8781961779880336,0.038578650202039114,0.6264687793464784
TIMP1,-1.625865502211833,-4.991652838882495,7.840442974841628
IL16,1.1603409352617213,1.692905990590349,-1.4500449090385779
HLA-DQA1,-1.8960055552206168,-0.7024469203790673,-3.760808839107427
COL1A1,-1.1991980810601754,-5.123855110231831,8.76804221248358
HSPA1A,0.6956657751727445,-0.9069867799133453,-0.5853432881803029
HSP90AB1,0.1533755659511029,-0.9641070026113069,1.0100113099613508
PSAP,-3.2787583010190655,-4.084123221916145,-0.45085790338693943
HSPA1B,0.4927693787725633,0.8096512803282737,0.011273862390047297
IGFBP7,-0.19353570782655583,-5.546336875952809,7.600817983685593
VIM,0.6718564005935042,-2.9511455196083065,2.5651494506376844
EZR,0.736579973692328,1.1749582663966454,-1.021485576422854
LTB,1.6429602161863661,1.4795611925396777,-0.9203925313335631
TNFRSF12A,0.42215215223390745,0.7467609086599889,-0.47169795976529827
HLA-DQB1,-0.7416743564920797,0.11594969124792504,-2.489006475321783
IGHD,-0.3120655670642718,2.438718395077677,-2.6232404344733182
CD79A,-0.2483386690337931,2.4864601467778726,-1.869454287838181
COL3A1,-0.8159508129637741,-6.444458494493062,9.006465553958963
CD52,1.0477178268304894,1.4343122537798623,-0.9965354341398824
TUBB,0.22955161893948747,-1.3329337164209365,0.08026017339678441
PTPRC,1.5091318369289628,1.168733260695556,-1.667617104589027
HSP90AA1,0.7612686308245856,-0.17698768186695385,0.8876219888648236
IFITM3,-0.3625786043081635,-2.3639626342285993,2.797702513202935
MT2A,0.9409334989685285,-2.6914841190884555,4.761316409234828
EIF5A,0.30579569819276214,-0.9193082111976687,1.250560464507114
CD19,0.05459825526197018,2.1191518794540416,-1.649159116969968
PTGDR2,1.3876388278235083,-0.7114684925481464,-0.37709135907421637
CD3E,1.0783996515803256,-0.714266354150875,-0.12016794663604087
IRF3,0.932386052346031,1.9509135945803082,-0.7614404564325316
KRT14,0.8440265166877267,1.4870188258499029,-0.9556391795477177
RPL32,2.025697382833741,0.2630223267935655,0.022391711607471075
SRGN,-1.7787716466523795,-2.6281607746837223,-1.7702277393683643
PTPRCAP,0.8221907077483771,1.287336179090788,-0.8713838994037858
BGN,-0.1565494557452514,-4.751169972666117,7.340182582541817
MIF,-0.2043026094024275,-1.0539495731051352,1.0057408862786306
COTL1,0.48247460021372246,-0.7766948310011131,-1.4959313258587708
KLF2,0.5793660104423862,0.32324322315566323,-1.2179352499675211
CD44,-0.9937802312389741,0.6575400882843243,-0.6688544385916712
GPX1,-0.65629433984759,-1.909664341603786,-1.2914505740182365
S100A6,0.35843495707120354,-2.9570571321664563,3.218165444344669
GSTP1,-1.041602495580155,-2.49486456137514,0.2067829827141522
TNFRSF13B,0.12747689932370415,2.7045374414614667,-0.9274274750088406
IL32,1.6035015032604023,-1.8507608156440336,2.586320975928734
BCL2,0.04894098513823739,1.8673484025160045,-1.3396784791563023
MGP,0.1492682190810706,-4.657105535893906,6.685759549681903
CD83,-0.2582383203742298,1.6146935095517574,-1.8581683794182282
HSPB1,-1.205697296062971,-1.603435773344649,3.207415636966255
JAK1,0.07027371406032651,0.021226910697326663,-0.05832835775591615
HSP90B1,-0.859552888098112,0.9748011526101907,1.4201358407272506
SOD2,0.11447634173565485,-2.320995456696153,3.5639338790019814
